Date;Contrat de travail;Nombre d'hommes;Nombre de femmes
2010;Agents contractuels temps complet;3420.0;2341.0
2010;Agents contractuels temps partiel;577.0;1478.0
2010;Cadres supérieurs;1187.0;279.0
2013;Agents au statut;115402.0;26199.0
2013;Agents contractuels temps complet;7053.0;3487.0
2013;Agents contractuels temps partiel;525.0;1362.0
2014;Cadres supérieurs;1171.0;330.0
2015;Agents au statut;110377.0;25620.0
2016;Agents contractuels temps complet;9440.0;3703.0
2016;Agents contractuels temps partiel;447.0;1107.0
2017;Agents au statut;104556.0;24972.0
2018;Agents au statut;101528.0;24401.0
2018;Agents contractuels temps complet;10889.0;3632.0
2020;Agents contractuels temps partiel;;
2020;Cadres supérieurs;1283.0;455.0
2021;Agents au statut;93558.0;24353.0
2021;Agents contractuels temps partiel;;
2012;Cadres supérieurs;1210.0;320.0
2014;Agents au statut;112888.0;25918.0
2014;Agents contractuels temps complet;7688.0;3568.0
2016;Agents au statut;107752.0;25008.0
2018;Cadres supérieurs;1126.0;387.0
2019;Agents au statut;101644.0;26207.0
2019;Agents contractuels temps partiel;432.0;903.0
2020;Agents contractuels temps complet;14313.0;5010.0
2011;Agents au statut;119084.0;25519.0
2012;Agents au statut;117003.0;25886.0
2012;Agents contractuels temps partiel;447.0;1226.0
2013;Cadres supérieurs;1190.0;329.0
2015;Agents contractuels temps complet;8231.0;3456.0
2015;Cadres supérieurs;1164.0;355.0
2016;Cadres supérieurs;1138.0;324.0
2017;Agents contractuels temps partiel;452.0;1043.0
2018;Agents contractuels temps partiel;387.0;888.0
2021;Agents contractuels temps complet;16680.0;5438.0
2011;Agents contractuels temps complet;4452.0;2699.0
2015;Agents contractuels temps partiel;496.0;1261.0
2010;Agents au statut;120621.0;25030.0
2011;Agents contractuels temps partiel;581.0;1387.0
2011;Cadres supérieurs;1188.0;297.0
2012;Agents contractuels temps complet;5202.0;2703.0
2014;Agents contractuels temps partiel;308.0;1014.0
2017;Agents contractuels temps complet;10482.0;3792.0
2017;Cadres supérieurs;1149.0;354.0
2019;Agents contractuels temps complet;11860.0;4633.0
2019;Cadres supérieurs;1286.0;441.0
2020;Agents au statut;97679.0;25289.0
2021;Cadres supérieurs;1882.0;771.0
